date,forecast,disease_name
2025-11-10,0.0,0
2025-11-11,0.0,0
2025-11-12,0.0,0
2025-11-13,0.0,0
2025-11-14,0.0,0
2025-11-15,0.0,0
2025-11-16,0.0,0
2025-11-10,3.6666666666666665,COVID-19
2025-11-11,3.6666666666666665,COVID-19
2025-11-12,3.6666666666666665,COVID-19
2025-11-13,3.6666666666666665,COVID-19
2025-11-14,3.6666666666666665,COVID-19
2025-11-15,3.6666666666666665,COVID-19
2025-11-16,3.6666666666666665,COVID-19
2025-11-10,3.8333333333333335,Dengue
2025-11-11,3.8333333333333335,Dengue
2025-11-12,3.8333333333333335,Dengue
2025-11-13,3.8333333333333335,Dengue
2025-11-14,3.8333333333333335,Dengue
2025-11-15,3.8333333333333335,Dengue
2025-11-16,3.8333333333333335,Dengue
2025-11-08,1.5,Ebola
2025-11-09,1.5,Ebola
2025-11-10,1.5,Ebola
2025-11-11,1.5,Ebola
2025-11-12,1.5,Ebola
2025-11-13,1.5,Ebola
2025-11-14,1.5,Ebola
2025-11-11,3.230769200961446,Influenza
2025-11-12,2.4615383239783597,Influenza
2025-11-13,1.6923074469952737,Influenza
2025-11-14,0.9230765700121872,Influenza
2025-11-15,0.15384569302910078,Influenza
2025-11-16,-0.6153851839539852,Influenza
2025-11-17,-1.3846160609370717,Influenza
2025-11-08,2.2,Malaria
2025-11-09,2.2,Malaria
2025-11-10,2.2,Malaria
2025-11-11,2.2,Malaria
2025-11-12,2.2,Malaria
2025-11-13,2.2,Malaria
2025-11-14,2.2,Malaria
2025-11-04,2.0,Measles
2025-11-05,2.0,Measles
2025-11-06,2.0,Measles
2025-11-07,2.0,Measles
2025-11-08,2.0,Measles
2025-11-09,2.0,Measles
2025-11-10,2.0,Measles
2025-10-31,2.0,Meningitis
2025-11-01,2.0,Meningitis
2025-11-02,2.0,Meningitis
2025-11-03,2.0,Meningitis
2025-11-04,2.0,Meningitis
2025-11-05,2.0,Meningitis
2025-11-06,2.0,Meningitis
2025-11-11,2.4,Tuberculosis
2025-11-12,2.4,Tuberculosis
2025-11-13,2.4,Tuberculosis
2025-11-14,2.4,Tuberculosis
2025-11-15,2.4,Tuberculosis
2025-11-16,2.4,Tuberculosis
2025-11-17,2.4,Tuberculosis
2025-11-01,1.0,Zika
2025-11-02,1.0,Zika
2025-11-03,1.0,Zika
2025-11-04,1.0,Zika
2025-11-05,1.0,Zika
2025-11-06,1.0,Zika
2025-11-07,1.0,Zika
